"Date","IXIC.Open","IXIC.High","IXIC.Low","IXIC.Close","IXIC.Volume","IXIC.Adjusted"
2018-01-02,6937.64990234375,7006.91015625,6924.080078125,7006.89990234375,1929700000,7006.89990234375
2018-01-03,7017.06982421875,7069.14990234375,7016.7001953125,7065.52978515625,2173130000,7065.52978515625
2018-01-04,7089.5,7098.0498046875,7072.3798828125,7077.91015625,2103220000,7077.91015625
2018-01-05,7105.740234375,7137.0400390625,7097.080078125,7136.56005859375,2.024e+09,7136.56005859375
2018-01-08,7135.3798828125,7161.35009765625,7124.08984375,7157.39013671875,2055010000,7157.39013671875
2018-01-09,7174.18994140625,7181.14013671875,7148.2998046875,7163.580078125,2155810000,7163.580078125
2018-01-10,7129.830078125,7154.240234375,7111.52001953125,7153.56982421875,2132430000,7153.56982421875
2018-01-11,7168.72998046875,7211.77978515625,7163.22998046875,7211.77978515625,2015170000,7211.77978515625
2018-01-12,7208.169921875,7265.259765625,7205.18017578125,7261.06005859375,1986600000,7261.06005859375
2018-01-16,7307.18994140625,7330.330078125,7205.93017578125,7223.68994140625,2399790000,7223.68994140625
2018-01-17,7257.77001953125,7309.35986328125,7229.31982421875,7298.27978515625,2245910000,7298.27978515625
2018-01-18,7293.64990234375,7313.89013671875,7276.10986328125,7296.0498046875,2037410000,7296.0498046875
2018-01-19,7312,7336.3798828125,7297.27978515625,7336.3798828125,2005470000,7336.3798828125
2018-01-22,7338.0400390625,7408.02978515625,7332.81005859375,7408.02978515625,2118310000,7408.02978515625
2018-01-23,7424.9501953125,7465.39013671875,7423.18017578125,7460.2900390625,2135840000,7460.2900390625
2018-01-24,7474.16015625,7486.31982421875,7376.75,7415.06005859375,2287320000,7415.06005859375
2018-01-25,7457.9501953125,7458.52978515625,7388.580078125,7411.16015625,2081380000,7411.16015625
2018-01-26,7448.330078125,7505.77001953125,7431.22021484375,7505.77001953125,2080700000,7505.77001953125
2018-01-29,7484.47021484375,7500.60986328125,7455.5498046875,7466.509765625,2114420000,7466.509765625
2018-01-30,7388.89013671875,7433.64990234375,7373.990234375,7402.47998046875,2183420000,7402.47998046875
2018-01-31,7443.25,7453.990234375,7381.1201171875,7411.47998046875,2428990000,7411.47998046875
2018-02-01,7377.169921875,7441.08984375,7362.27978515625,7385.85986328125,2311180000,7385.85986328125
2018-02-02,7347.58984375,7364.43017578125,7238.18017578125,7240.9501953125,2607160000,7240.9501953125
2018-02-05,7165.9599609375,7277.35986328125,6967.52978515625,6967.52978515625,3143210000,6967.52978515625
2018-02-06,6837.56005859375,7126.5498046875,6824.81982421875,7115.8798828125,3148270000,7115.8798828125
2018-02-07,7086.2001953125,7170.33984375,7051.52978515625,7051.97998046875,2380020000,7051.97998046875
2018-02-08,7067.2998046875,7073.990234375,6776.77001953125,6777.16015625,2730740000,6777.16015625
2018-02-09,6863.33984375,6917.009765625,6630.669921875,6874.490234375,3165330000,6874.490234375
2018-02-12,6936.68017578125,7023.6201171875,6879.68994140625,6981.9599609375,2250650000,6981.9599609375
2018-02-13,6942.16015625,7025.68017578125,6938.16015625,7013.509765625,1830320000,7013.509765625
2018-02-14,6979.240234375,7152.0498046875,6977.06982421875,7143.6201171875,2217630000,7143.6201171875
2018-02-15,7200.75,7256.93017578125,7130.39013671875,7256.43017578125,2124060000,7256.43017578125
2018-02-16,7236.509765625,7303.259765625,7226.3798828125,7239.47021484375,2037710000,7239.47021484375
2018-02-20,7209.02978515625,7295.9501953125,7206,7234.31005859375,1921870000,7234.31005859375
2018-02-21,7258.47998046875,7338.64013671875,7218.10986328125,7218.22998046875,1956120000,7218.22998046875
2018-02-22,7252.4599609375,7280.93017578125,7194.83984375,7210.08984375,1927580000,7210.08984375
2018-02-23,7261.35009765625,7337.830078125,7232.5,7337.39013671875,1887540000,7337.39013671875
2018-02-26,7373.2998046875,7421.85009765625,7360.25,7421.4599609375,1876560000,7421.4599609375
2018-02-27,7416.169921875,7438.08984375,7330.35009765625,7330.35009765625,2162250000,7330.35009765625
